,user,train_samples,EER
70,175583,5,0.07456140350877194
71,175584,5,0.007127192982456121
72,175586,5,0.05427631578947367
73,175590,5,0.0
74,175592,5,0.00877192982456143
75,175596,5,0.009320175438596534
76,175600,5,0.0
77,175606,5,0.013157894736842146
78,175607,5,0.016447368421052655
79,175614,5,0.014254385964912242
80,175617,5,0.07510964912280704
81,175619,5,0.024671052631578982
82,175622,5,0.00877192982456143
83,175623,5,0.023026315789473673
84,175624,5,0.03673245614035092
85,175625,5,0.1
86,175629,5,0.008223684210526327
87,175631,5,0.006578947368421018
88,175636,5,0.1
89,175638,5,0.011513157894736836
90,175641,5,0.06085526315789469
91,175652,5,0.006030701754385914
92,175653,5,0.03618421052631582
93,175655,5,0.016995614035087758
94,175660,5,0.04385964912280704
95,175663,5,0.003837719298245612
96,175665,5,0.1
97,175668,5,0.1
98,175672,5,0.008223684210526327
99,175676,5,0.023026315789473673
100,175686,5,0.1
101,175689,5,0.1
102,175693,5,0.011513157894736836
103,175700,5,0.003289473684210509
104,175704,5,0.010964912280701733
105,175708,5,0.008223684210526327
106,175709,5,0.04714912280701755
107,175716,5,0.004934210526315819
108,175717,5,0.03234649122807021
109,175719,5,0.03234649122807021
110,175721,5,0.03782894736842102
111,175722,5,0.05921052631578949
112,175723,5,0.002192982456140302
113,175725,5,0.004385964912280715
114,175726,5,0.003837719298245612
115,175735,5,0.052631578947368474
116,175745,5,0.1
117,175746,5,0.02247807017543857
118,175761,5,0.052631578947368474
119,175766,5,0.007127192982456121
120,175767,5,0.02796052631578949
121,175770,5,0.1
122,175771,5,0.04002192982456143
123,175772,5,0.07182017543859653
124,175776,5,0.07236842105263153
125,175780,5,0.1
126,175782,5,0.03234649122807021
127,175786,5,0.027412280701754388
128,175787,5,0.02247807017543857
129,175789,5,0.004934210526315819
130,175793,5,0.06414473684210531
131,175794,5,0.009868421052631526
132,175795,5,0.018092105263157854
133,175798,5,0.020285087719298267
134,175801,5,0.007127192982456121
135,175802,5,0.030701754385964897
136,175805,5,0.013706140350877138
137,175810,5,0.008223684210526327
138,175811,5,0.016447368421052655
139,175814,5,0.053179824561403466
140,175817,5,0.03125
141,175819,5,0.07565789473684215
142,175822,5,0.030153508771929793
143,175824,5,0.002192982456140302
144,175825,5,0.0005482456140351033
145,175832,5,0.004934210526315819
146,175833,5,0.00164473684210531
147,175841,5,0.03234649122807021
148,175843,5,0.016447368421052655
149,175845,5,0.06798245614035092
150,175846,5,0.046052631578947345
151,175851,5,0.01206140350877194
152,175852,5,0.08771929824561409
153,175856,5,0.1
154,175859,5,0.018640350877192957
155,175860,5,0.02247807017543857
156,175870,5,0.012609649122807043
157,175872,5,0.025219298245614086
158,175873,5,0.02247807017543857
159,175874,5,0.014254385964912242
160,175883,5,0.018092105263157854
161,175885,5,0.021929824561403466
162,175887,5,0.004934210526315819
163,175890,5,0.06085526315789469
164,175898,5,0.009320175438596534
165,175911,5,0.015350877192982448
166,175914,5,0.046052631578947345
167,175920,5,0.1
168,175923,5,0.008223684210526327
169,175932,5,0.028508771929824595
170,175934,5,0.003837719298245612
171,175937,5,0.04879385964912286
172,175938,5,0.03234649122807021
173,175943,5,0.2
174,175946,5,0.023026315789473673
175,175947,5,0.03947368421052633
176,175949,5,0.018640350877192957
177,175951,5,0.009320175438596534
178,175961,5,0.050986842105263164
179,175970,5,0.030701754385964897
180,175974,5,0.009320175438596534
181,175978,5,0.1
182,175980,5,0.024671052631578982
183,175982,5,0.033991228070175405
184,175985,5,0.09758771929824561
185,175991,5,0.03947368421052633
186,175992,5,0.008223684210526327
187,175996,5,0.014254385964912242
188,175997,5,0.006030701754385914
189,175998,5,0.015350877192982448
190,176001,5,0.030153508771929793
191,176010,5,0.013157894736842146
192,176012,5,0.003837719298245612
193,176014,5,0.03289473684210531
194,176015,5,0.04002192982456143
195,176016,5,0.0027412280701754055
196,176022,5,0.011513157894736836
197,176024,5,0.0334429824561403
198,176027,5,0.07291666666666663
199,176028,5,0.07346491228070173
200,176029,5,0.03673245614035092
201,176031,5,0.0652412280701754
202,176042,5,0.07182017543859653
203,176045,5,0.0010964912280702066
204,176049,5,0.007127192982456121
205,176055,5,0.009320175438596534
206,176057,5,0.0010964912280702066
207,176060,5,0.01206140350877194
208,176066,5,0.01206140350877194
209,176069,5,0.04495614035087714
210,176070,5,0.021929824561403466
